Designator,Footprint,Quantity,Value,LCSC Part #
"C14, C17",CP_Radial_D5.0mm_P2.00mm,2,22u,
C15,0603,1,220p,
"C16, C18, C19, C20",0603,4,100n,
CN1,RJHSE-5381 LAN_port,1,8P8C-LED,
"D0, D1, D2, D8",0603,4,DIODE-SOD123,
"D10, D11, D9",0805,3,LEDCHIPLED_0805,
F1,NANOASMDC035F2,1,R-EU_R1206,
JP1,PinHeader_2x04_P2.54mm_Vertical,1,PINHD-2X4,
L1,L5852,1,L5852,
"R1, R16, R3, R7",0603,4,10k,
"R13, R14, R15, R18, R20",0603,5,1k,
"R17, R2, R5, R6",0603,4,100R,
R19,0603,1,4k7,
R21,0603,1,3.6k,
R22,0603,1,1.2k,
R23,0603,1,0.68,
R4,0603,1,100k,
STM32F103C8T6,stm32f103c8t6,1,STM32F103C8,
SW1,430451025836,1,SWITCH_TACTILETOP,
"TLP172AM1, TLP172AM2, TLP172AM3",11-4M1S,3,~,
U$6,CSTCE8M00G55,1,CSTCE8M00G55,
U2,NCV7351D1E,1,NCV7351D1E,
U6,MC34063AD,1,MC34063AD,
U7,XC6206,1,XC6206,
"X0, X1, X2, X3",S02BXASS1LFSN,4,S2B-XASK-1,
